lot_id,date,day_index,product,layer,scanner_id,reticle_id,dose_setting_mJcm2,dose_dev_pct,focus_setting_nm,focus_sensor_nm,etch_chamber,rf_hours_since_pm,adi_meas_tool,aci_meas_tool,aci_measured,dose_sensor_mJcm2,dose_setting_vs_sensor_pct
L0157,2026-03-27,19,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.27,0.0,-16.7,CH-C,285.0,CDSEM-A,CDSEM-A,True,31.899,-0.316
L0158,2026-03-27,19,P-A1,M1-LS,SCN-02,RET-B,32.0,0.186,0.0,25.5,CH-A,220.8,CDSEM-B,CDSEM-A,False,32.092,0.287
L0159,2026-03-27,19,P-A1,M1-LS,SCN-01,RET-A,32.0,0.024,0.0,11.8,CH-D,157.5,CDSEM-B,CDSEM-B,True,32.025,0.078
L0160,2026-03-27,19,P-A1,M1-LS,SCN-02,RET-A,32.0,0.152,0.0,7.0,CH-A,223.1,CDSEM-B,CDSEM-A,False,32.118,0.369
L0161,2026-03-30,20,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.105,0.0,13.8,CH-B,392.6,CDSEM-A,CDSEM-B,True,31.939,-0.191
L0162,2026-03-30,20,P-A1,M1-LS,SCN-01,RET-B,32.0,0.218,0.0,-9.3,CH-A,224.8,CDSEM-A,CDSEM-A,False,31.959,-0.128
L0163,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-A,32.0,0.004,0.0,7.1,CH-D,160.1,CDSEM-A,CDSEM-B,True,32.002,0.006
L0164,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.246,0.0,3.4,CH-D,162.9,CDSEM-A,CDSEM-A,False,31.975,-0.078
L0165,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.201,0.0,9.4,CH-A,227.2,CDSEM-B,CDSEM-B,True,31.86,-0.438
L0166,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-B,32.0,0.31,0.0,-5.5,CH-C,286.8,CDSEM-B,CDSEM-B,False,32.012,0.038
L0167,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-B,32.0,0.731,0.0,-5.8,CH-C,289.0,CDSEM-B,CDSEM-B,True,32.171,0.534
L0168,2026-03-30,20,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.178,0.0,-18.2,CH-D,165.1,CDSEM-B,CDSEM-A,False,32.023,0.072
L0169,2026-03-31,21,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.029,0.0,5.4,CH-C,291.8,CDSEM-A,CDSEM-A,True,32.037,0.116
L0170,2026-03-31,21,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.37,0.0,17.4,CH-A,229.2,CDSEM-B,CDSEM-A,False,31.886,-0.356
L0171,2026-03-31,21,P-A1,M1-LS,SCN-02,RET-A,32.0,0.149,0.0,-4.7,CH-B,395.2,CDSEM-B,CDSEM-A,True,31.925,-0.234
L0172,2026-03-31,21,P-A1,M1-LS,SCN-02,RET-B,32.0,0.209,0.0,16.1,CH-A,232.0,CDSEM-B,CDSEM-B,False,32.036,0.113
L0173,2026-03-31,21,P-A1,M1-LS,SCN-01,RET-A,32.0,0.071,0.0,4.6,CH-C,294.3,CDSEM-B,CDSEM-B,True,31.994,-0.019
L0174,2026-03-31,21,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.167,0.0,-8.7,CH-D,167.2,CDSEM-B,CDSEM-A,False,31.888,-0.35
L0175,2026-03-31,21,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.286,0.0,12.0,CH-B,397.6,CDSEM-B,CDSEM-A,True,31.906,-0.294
L0176,2026-03-31,21,P-A1,M1-LS,SCN-02,RET-B,32.0,0.163,0.0,-11.1,CH-A,234.0,CDSEM-A,CDSEM-A,False,32.023,0.072
L0177,2026-04-01,22,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.31,0.0,11.6,CH-A,235.8,CDSEM-B,CDSEM-B,True,31.898,-0.319
L0178,2026-04-01,22,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.509,0.0,-20.3,CH-D,169.4,CDSEM-A,CDSEM-A,False,31.904,-0.3
L0179,2026-04-01,22,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.099,0.0,5.9,CH-D,171.8,CDSEM-A,CDSEM-B,True,31.988,-0.038
L0180,2026-04-01,22,P-A1,M1-LS,SCN-02,RET-B,32.0,0.033,0.0,-10.3,CH-A,237.7,CDSEM-A,CDSEM-A,False,31.929,-0.222
L0181,2026-04-01,22,P-A1,M1-LS,SCN-01,RET-B,32.0,0.244,0.0,-13.4,CH-B,400.1,CDSEM-A,CDSEM-B,True,32.005,0.016
L0182,2026-04-01,22,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.039,0.0,-0.2,CH-D,174.5,CDSEM-B,CDSEM-B,False,31.907,-0.291
L0183,2026-04-01,22,P-A1,M1-LS,SCN-01,RET-B,32.0,0.2,0.0,5.4,CH-C,296.5,CDSEM-A,CDSEM-B,True,32.107,0.334
L0184,2026-04-01,22,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.223,0.0,8.9,CH-D,176.6,CDSEM-B,CDSEM-A,False,31.938,-0.194
L0185,2026-04-02,23,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.279,0.0,2.7,CH-B,402.6,CDSEM-A,CDSEM-A,True,31.915,-0.266
L0186,2026-04-02,23,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.286,0.0,1.8,CH-D,179.3,CDSEM-A,CDSEM-B,False,32.011,0.034
L0187,2026-04-02,23,P-A1,M1-LS,SCN-01,RET-A,32.0,0.048,0.0,11.0,CH-A,239.9,CDSEM-B,CDSEM-A,True,32.097,0.303
L0188,2026-04-02,23,P-A1,M1-LS,SCN-02,RET-A,32.0,0.092,0.0,23.1,CH-D,181.7,CDSEM-A,CDSEM-B,False,31.911,-0.278
L0189,2026-04-02,23,P-A1,M1-LS,SCN-01,RET-B,32.0,0.03,0.0,-7.8,CH-A,242.8,CDSEM-A,CDSEM-A,True,32.031,0.097
L0190,2026-04-02,23,P-A1,M1-LS,SCN-02,RET-A,32.0,0.178,0.0,-15.6,CH-C,299.5,CDSEM-A,CDSEM-B,False,31.951,-0.153
L0191,2026-04-02,23,P-A1,M1-LS,SCN-01,RET-B,32.0,0.215,0.0,-9.3,CH-A,245.3,CDSEM-A,CDSEM-A,True,31.963,-0.116
L0192,2026-04-02,23,P-A1,M1-LS,SCN-02,RET-A,32.0,0.453,0.0,6.4,CH-A,248.3,CDSEM-B,CDSEM-A,False,32.096,0.3
L0193,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.001,0.0,-6.5,CH-C,301.1,CDSEM-A,CDSEM-A,True,32.016,0.05
L0194,2026-04-03,24,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.075,0.0,-6.8,CH-C,303.5,CDSEM-A,CDSEM-A,False,31.964,-0.113
L0195,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.506,0.0,-10.9,CH-A,249.9,CDSEM-A,CDSEM-B,True,31.925,-0.234
L0196,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,0.672,0.0,-1.8,CH-C,305.1,CDSEM-A,CDSEM-A,False,32.281,0.878
L0197,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,0.026,0.0,-5.8,CH-C,308.1,CDSEM-A,CDSEM-B,True,32.007,0.022
L0198,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,0.133,0.0,-5.1,CH-D,184.4,CDSEM-A,CDSEM-B,False,32.11,0.344
L0199,2026-04-03,24,P-A1,M1-LS,SCN-02,RET-A,32.0,0.164,0.0,9.1,CH-C,310.6,CDSEM-B,CDSEM-B,True,32.141,0.441
L0200,2026-04-03,24,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.058,0.0,5.0,CH-C,312.1,CDSEM-B,CDSEM-A,False,32.074,0.231
L0201,2026-04-06,25,P-A1,M1-LS,SCN-02,RET-A,32.0,0.111,0.0,-1.2,CH-C,314.6,CDSEM-A,CDSEM-A,True,32.011,0.034
L0202,2026-04-06,25,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.174,0.0,-24.8,CH-B,404.4,CDSEM-A,CDSEM-B,False,31.925,-0.234
L0203,2026-04-06,25,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.06,0.0,-7.0,CH-C,317.3,CDSEM-B,CDSEM-B,True,31.955,-0.141
L0204,2026-04-06,25,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.04,0.0,3.1,CH-C,319.3,CDSEM-A,CDSEM-B,False,31.954,-0.144
L0205,2026-04-06,25,P-A1,M1-LS,SCN-01,RET-A,32.0,0.548,0.0,1.6,CH-D,186.9,CDSEM-B,CDSEM-B,True,32.168,0.525
L0206,2026-04-06,25,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.076,0.0,-4.3,CH-A,251.6,CDSEM-B,CDSEM-B,False,31.938,-0.194
L0207,2026-04-06,25,P-A1,M1-LS,SCN-02,RET-A,32.0,0.233,0.0,17.6,CH-A,253.2,CDSEM-B,CDSEM-A,True,32.056,0.175
L0208,2026-04-06,25,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.056,0.0,0.4,CH-B,406.1,CDSEM-B,CDSEM-A,False,32.023,0.072
L0209,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-B,32.0,0.249,0.0,15.1,CH-D,188.7,CDSEM-A,CDSEM-B,True,32.041,0.128
L0210,2026-04-07,26,P-A1,M1-LS,SCN-01,RET-A,32.0,0.001,0.0,14.4,CH-B,408.3,CDSEM-B,CDSEM-A,False,32.027,0.084
L0211,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.298,0.0,-6.0,CH-C,321.6,CDSEM-B,CDSEM-B,True,31.881,-0.372
L0212,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.013,0.0,-11.1,CH-B,410.2,CDSEM-B,CDSEM-A,False,31.935,-0.203
L0213,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.297,0.0,-6.9,CH-D,191.0,CDSEM-B,CDSEM-B,True,31.971,-0.091
L0214,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-A,32.0,0.014,0.0,-1.7,CH-A,255.2,CDSEM-B,CDSEM-A,False,32.006,0.019
L0215,2026-04-07,26,P-A1,M1-LS,SCN-02,RET-A,32.0,0.104,0.0,-4.3,CH-A,257.0,CDSEM-B,CDSEM-A,True,32.093,0.291
L0216,2026-04-07,26,P-A1,M1-LS,SCN-01,RET-A,32.0,0.062,0.0,30.6,CH-C,324.3,CDSEM-A,CDSEM-B,False,31.984,-0.05
L0217,2026-04-08,27,P-A1,M1-LS,SCN-01,RET-A,32.0,0.216,0.0,1.9,CH-A,258.6,CDSEM-A,CDSEM-B,True,32.171,0.534
L0218,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.091,0.0,-3.9,CH-A,261.0,CDSEM-A,CDSEM-B,False,31.954,-0.144
L0219,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,0.194,0.0,-21.6,CH-A,263.8,CDSEM-B,CDSEM-A,True,32.045,0.141
L0220,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,0.254,0.0,-2.9,CH-B,411.9,CDSEM-B,CDSEM-B,False,32.08,0.25
L0221,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.166,0.0,-5.7,CH-C,326.2,CDSEM-A,CDSEM-A,True,31.94,-0.187
L0222,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-A,32.0,0.421,0.0,-9.9,CH-B,414.1,CDSEM-B,CDSEM-A,False,32.058,0.181
L0223,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.193,0.0,-0.9,CH-A,265.9,CDSEM-B,CDSEM-B,True,31.933,-0.209
L0224,2026-04-08,27,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.122,0.0,9.3,CH-C,328.6,CDSEM-A,CDSEM-A,False,31.925,-0.234
L0225,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-A,32.0,0.058,0.0,-8.1,CH-A,268.3,CDSEM-A,CDSEM-B,True,32.045,0.141
L0226,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.073,0.0,-10.0,CH-D,193.4,CDSEM-B,CDSEM-B,False,32.02,0.063
L0227,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.098,0.0,6.8,CH-B,415.9,CDSEM-B,CDSEM-A,True,31.953,-0.147
L0228,2026-04-09,28,P-A1,M1-LS,SCN-01,RET-B,32.0,0.053,0.0,20.9,CH-B,417.5,CDSEM-B,CDSEM-B,False,32.002,0.006
L0229,2026-04-09,28,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.469,0.0,8.5,CH-C,331.2,CDSEM-A,CDSEM-A,True,31.782,-0.681
L0230,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-B,32.0,0.066,0.0,-11.9,CH-C,333.4,CDSEM-A,CDSEM-B,False,31.986,-0.044
L0231,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-B,32.0,0.173,0.0,24.7,CH-D,196.0,CDSEM-B,CDSEM-A,True,32.026,0.081
L0232,2026-04-09,28,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.431,0.0,-3.4,CH-D,198.0,CDSEM-B,CDSEM-A,False,31.983,-0.053
L0233,2026-04-10,29,P-A1,M1-LS,SCN-01,RET-A,32.0,0.083,0.0,6.2,CH-D,200.9,CDSEM-B,CDSEM-B,True,32.04,0.125
L0234,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-B,32.0,0.239,0.0,6.1,CH-B,419.8,CDSEM-A,CDSEM-B,False,32.122,0.381
L0235,2026-04-10,29,P-A1,M1-LS,SCN-01,RET-A,32.0,0.176,0.0,-8.5,CH-C,336.3,CDSEM-B,CDSEM-A,True,32.144,0.45
L0236,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-B,32.0,0.167,0.0,-6.7,CH-C,338.2,CDSEM-B,CDSEM-B,False,32.061,0.191
L0237,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.254,0.0,19.9,CH-C,340.7,CDSEM-A,CDSEM-A,True,31.904,-0.3
L0238,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.295,0.0,-6.4,CH-C,342.7,CDSEM-B,CDSEM-A,False,31.906,-0.294
L0239,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-A,32.0,0.491,0.0,1.6,CH-A,270.7,CDSEM-B,CDSEM-B,True,32.138,0.431
L0240,2026-04-10,29,P-A1,M1-LS,SCN-02,RET-A,32.0,0.162,0.0,11.7,CH-B,421.9,CDSEM-B,CDSEM-A,False,31.985,-0.047
L0241,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.159,0.0,-20.2,CH-C,345.1,CDSEM-A,CDSEM-B,True,31.946,-0.169
L0242,2026-04-13,30,P-A1,M1-LS,SCN-01,RET-A,32.0,0.098,0.0,-8.9,CH-D,203.7,CDSEM-B,CDSEM-A,False,31.957,-0.134
L0243,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-A,32.0,0.135,0.0,11.8,CH-A,273.4,CDSEM-A,CDSEM-B,True,31.972,-0.087
L0244,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-A,32.0,0.013,0.0,19.1,CH-B,424.8,CDSEM-B,CDSEM-A,False,31.909,-0.284
L0245,2026-04-13,30,P-A1,M1-LS,SCN-01,RET-A,32.0,0.158,0.0,6.1,CH-A,274.9,CDSEM-A,CDSEM-A,True,32.011,0.034
L0246,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.362,0.0,36.8,CH-C,347.8,CDSEM-A,CDSEM-B,False,31.925,-0.234
L0247,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.212,0.0,6.8,CH-C,349.9,CDSEM-A,CDSEM-A,True,31.916,-0.262
L0248,2026-04-13,30,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.051,0.0,-13.0,CH-A,277.5,CDSEM-A,CDSEM-A,False,32.002,0.006
L0249,2026-04-14,31,P-A1,M1-LS,SCN-01,RET-A,32.0,0.237,0.0,9.2,CH-B,426.4,CDSEM-B,CDSEM-A,True,32.171,0.534
L0250,2026-04-14,31,P-A1,M1-LS,SCN-02,RET-A,32.0,0.158,0.0,11.0,CH-C,352.7,CDSEM-A,CDSEM-B,False,31.941,-0.184
L0251,2026-04-14,31,P-A1,M1-LS,SCN-01,RET-A,32.0,0.164,0.0,-7.3,CH-C,355.4,CDSEM-A,CDSEM-B,True,32.016,0.05
L0252,2026-04-14,31,P-A1,M1-LS,SCN-01,RET-A,32.0,0.117,0.0,2.8,CH-D,205.5,CDSEM-B,CDSEM-B,False,32.082,0.256
L0253,2026-04-14,31,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.254,0.0,6.9,CH-D,207.6,CDSEM-B,CDSEM-B,True,32.01,0.031
L0254,2026-04-14,31,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.215,0.0,4.6,CH-A,279.3,CDSEM-A,CDSEM-B,False,31.93,-0.219
L0255,2026-04-14,31,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.449,0.0,13.6,CH-B,428.3,CDSEM-A,CDSEM-A,True,31.89,-0.344
L0256,2026-04-14,31,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.148,0.0,8.1,CH-C,357.8,CDSEM-B,CDSEM-B,False,31.945,-0.172
L0257,2026-04-15,32,P-A1,M1-LS,SCN-02,RET-A,32.0,0.016,0.0,3.6,CH-B,430.4,CDSEM-B,CDSEM-B,True,32.025,0.078
L0258,2026-04-15,32,P-A1,M1-LS,SCN-01,RET-A,32.0,0.182,0.0,-8.5,CH-D,209.2,CDSEM-A,CDSEM-A,False,32.047,0.147
L0259,2026-04-15,32,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.118,0.0,5.4,CH-A,281.6,CDSEM-B,CDSEM-A,True,31.914,-0.269
L0260,2026-04-15,32,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.041,0.0,15.0,CH-D,211.3,CDSEM-A,CDSEM-B,False,31.876,-0.387
L0261,2026-04-15,32,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.119,0.0,3.9,CH-D,213.4,CDSEM-A,CDSEM-B,True,31.986,-0.044
L0262,2026-04-15,32,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.21,0.0,2.6,CH-A,284.5,CDSEM-B,CDSEM-A,False,31.92,-0.25
L0263,2026-04-15,32,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.152,0.0,13.5,CH-D,216.3,CDSEM-A,CDSEM-B,True,31.958,-0.131
L0264,2026-04-15,32,P-A1,M1-LS,SCN-01,RET-B,32.0,0.159,0.0,-14.0,CH-C,359.9,CDSEM-B,CDSEM-B,False,32.011,0.034
L0265,2026-04-16,33,P-A1,M1-LS,SCN-02,RET-B,32.0,0.201,0.0,-1.9,CH-A,286.0,CDSEM-A,CDSEM-A,True,32.087,0.272
L0266,2026-04-16,33,P-A1,M1-LS,SCN-02,RET-A,32.0,0.004,0.0,12.3,CH-C,362.1,CDSEM-A,CDSEM-A,False,31.942,-0.181
L0267,2026-04-16,33,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.308,0.0,-2.1,CH-A,287.6,CDSEM-A,CDSEM-B,True,31.872,-0.4
L0268,2026-04-16,33,P-A1,M1-LS,SCN-01,RET-B,32.0,0.331,0.0,-2.0,CH-D,219.2,CDSEM-A,CDSEM-A,False,32.009,0.028
L0269,2026-04-16,33,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.057,0.0,18.5,CH-C,364.1,CDSEM-B,CDSEM-A,True,31.977,-0.072
L0270,2026-04-16,33,P-A1,M1-LS,SCN-02,RET-A,32.0,0.173,0.0,-10.5,CH-C,366.9,CDSEM-A,CDSEM-B,False,32.042,0.131
L0271,2026-04-16,33,P-A1,M1-LS,SCN-01,RET-A,32.0,0.361,0.0,-21.1,CH-D,221.9,CDSEM-A,CDSEM-B,True,32.138,0.431
L0272,2026-04-16,33,P-A1,M1-LS,SCN-02,RET-B,32.0,0.21,0.0,-8.0,CH-A,289.2,CDSEM-A,CDSEM-B,False,32.038,0.119
L0273,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.142,0.0,-15.4,CH-D,223.4,CDSEM-B,CDSEM-B,True,32.023,0.072
L0274,2026-04-17,34,P-A1,M1-LS,SCN-02,RET-A,32.0,0.562,0.0,-10.3,CH-B,432.3,CDSEM-A,CDSEM-A,False,32.154,0.481
L0275,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-A,32.0,0.125,0.0,24.9,CH-D,225.3,CDSEM-B,CDSEM-A,True,32.049,0.153
L0276,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-B,32.0,0.161,0.0,9.0,CH-B,434.6,CDSEM-B,CDSEM-A,False,31.97,-0.094
L0277,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-A,32.0,0.233,0.0,0.8,CH-D,227.8,CDSEM-A,CDSEM-B,True,32.041,0.128
L0278,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.168,0.0,-19.8,CH-D,229.9,CDSEM-B,CDSEM-B,False,31.953,-0.147
L0279,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.165,0.0,-17.3,CH-A,291.9,CDSEM-A,CDSEM-B,True,31.897,-0.322
L0280,2026-04-17,34,P-A1,M1-LS,SCN-01,RET-B,32.0,0.128,0.0,-3.8,CH-D,232.3,CDSEM-B,CDSEM-A,False,32.098,0.306
L0281,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.153,0.0,-9.8,CH-A,293.5,CDSEM-B,CDSEM-A,True,32.015,0.047
L0282,2026-04-20,35,P-A1,M1-LS,SCN-01,RET-B,32.0,0.288,0.0,16.9,CH-A,295.7,CDSEM-B,CDSEM-A,False,32.004,0.012
L0283,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.138,0.0,33.7,CH-A,297.4,CDSEM-B,CDSEM-B,True,31.894,-0.331
L0284,2026-04-20,35,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.081,0.0,-1.9,CH-A,299.7,CDSEM-A,CDSEM-A,False,31.935,-0.203
L0285,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.057,0.0,15.4,CH-C,369.7,CDSEM-A,CDSEM-A,True,31.946,-0.169
L0286,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-A,32.0,0.094,0.0,-5.2,CH-C,372.7,CDSEM-B,CDSEM-A,False,31.984,-0.05
L0287,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.325,0.0,16.2,CH-A,301.8,CDSEM-A,CDSEM-B,True,31.862,-0.431
L0288,2026-04-20,35,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.101,0.0,24.7,CH-A,304.7,CDSEM-A,CDSEM-B,False,31.924,-0.238
L0289,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.37,0.0,-7.2,CH-D,234.6,CDSEM-A,CDSEM-A,True,31.915,-0.266
L0290,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-A,32.0,0.42,0.0,-9.1,CH-A,306.5,CDSEM-A,CDSEM-A,False,32.074,0.231
L0291,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-B,32.0,0.305,0.0,17.4,CH-B,436.5,CDSEM-A,CDSEM-A,True,32.205,0.641
L0292,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-B,32.0,0.093,0.0,-12.0,CH-D,236.2,CDSEM-A,CDSEM-A,False,32.103,0.322
L0293,2026-04-21,36,P-A1,M1-LS,SCN-02,RET-B,32.0,0.105,0.0,-1.3,CH-D,237.8,CDSEM-A,CDSEM-B,True,32.055,0.172
L0294,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-A,32.0,0.296,0.0,-9.3,CH-B,438.5,CDSEM-A,CDSEM-B,False,31.929,-0.222
L0295,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-A,32.0,0.028,0.0,-1.9,CH-B,441.2,CDSEM-B,CDSEM-A,True,31.915,-0.266
L0296,2026-04-21,36,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.476,0.0,-8.2,CH-A,309.3,CDSEM-B,CDSEM-B,False,31.813,-0.584
L0297,2026-04-22,37,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.238,0.0,-28.8,CH-B,443.3,CDSEM-A,CDSEM-B,True,31.917,-0.259
L0298,2026-04-22,37,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.141,0.0,-9.7,CH-C,374.4,CDSEM-B,CDSEM-B,False,32.004,0.012
L0299,2026-04-22,37,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.305,0.0,9.2,CH-D,239.8,CDSEM-A,CDSEM-A,True,31.854,-0.456
L0300,2026-04-22,37,P-A1,M1-LS,SCN-02,RET-A,32.0,0.105,0.0,16.7,CH-D,242.3,CDSEM-B,CDSEM-B,False,31.989,-0.034
L0301,2026-04-22,37,P-A1,M1-LS,SCN-01,RET-A,32.0,0.003,0.0,10.3,CH-D,245.0,CDSEM-B,CDSEM-A,True,32.023,0.072
L0302,2026-04-22,37,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.377,0.0,9.9,CH-C,376.5,CDSEM-A,CDSEM-B,False,31.905,-0.297
L0303,2026-04-22,37,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.103,0.0,13.3,CH-C,378.5,CDSEM-A,CDSEM-B,True,31.962,-0.119
L0304,2026-04-22,37,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.035,0.0,-12.9,CH-C,381.1,CDSEM-A,CDSEM-B,False,32.016,0.05
L0305,2026-04-23,38,P-A1,M1-LS,SCN-02,RET-A,32.0,0.186,0.0,9.6,CH-B,445.5,CDSEM-B,CDSEM-A,True,32.065,0.203
L0306,2026-04-23,38,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.042,0.0,-17.5,CH-A,311.4,CDSEM-A,CDSEM-B,False,31.989,-0.034
L0307,2026-04-23,38,P-A1,M1-LS,SCN-01,RET-B,32.0,0.297,0.0,-3.9,CH-B,447.7,CDSEM-B,CDSEM-A,True,32.112,0.35
L0308,2026-04-23,38,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.076,0.0,-8.8,CH-D,246.6,CDSEM-B,CDSEM-B,False,32.043,0.134
L0309,2026-04-23,38,P-A1,M1-LS,SCN-01,RET-A,32.0,0.132,0.0,1.4,CH-C,383.3,CDSEM-A,CDSEM-A,True,31.994,-0.019
L0310,2026-04-23,38,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.029,0.0,17.0,CH-B,450.5,CDSEM-B,CDSEM-B,False,31.951,-0.153
L0311,2026-04-23,38,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.071,0.0,19.2,CH-C,386.0,CDSEM-B,CDSEM-A,True,31.941,-0.184
L0312,2026-04-23,38,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.676,0.0,-21.9,CH-D,248.5,CDSEM-B,CDSEM-B,False,31.81,-0.594
L0313,2026-04-24,39,P-A1,M1-LS,SCN-01,RET-B,32.0,0.008,0.0,15.6,CH-B,452.6,CDSEM-A,CDSEM-B,True,32.008,0.025
L0314,2026-04-24,39,P-A1,M1-LS,SCN-02,RET-B,32.0,0.073,0.0,-11.8,CH-A,313.4,CDSEM-A,CDSEM-A,False,31.96,-0.125
